nombre,coherencia,stim,resp,rt
AL_2019_09_09_11_46_34.mat,0.1,1,0,2.250144779
AL_2019_09_09_11_46_34.mat,0.7,0,0,1.396479575
AL_2019_09_09_11_46_34.mat,0.15,0,0,1.848914372
AL_2019_09_09_11_46_34.mat,0.7,0,0,1.849244355
AL_2019_09_09_11_46_34.mat,0.15,1,1,1.382701905
AL_2019_09_09_11_46_34.mat,0.2,0,0,1.632687941
AL_2019_09_09_11_46_34.mat,0.3,0,1,2.498518583
AL_2019_09_09_11_46_34.mat,0.7,1,0,1.763739481
AL_2019_09_09_11_46_34.mat,0.2,0,0,1.559808179
AL_2019_09_09_11_46_34.mat,0.15,1,1,1.562857497
AL_2019_09_09_11_46_34.mat,0.15,0,0,2.232935377
AL_2019_09_09_11_46_34.mat,0.2,1,1,2.161444607
AL_2019_09_09_11_46_34.mat,0.2,0,0,1.866815515
AL_2019_09_09_11_46_34.mat,0.2,1,1,1.93056783
AL_2019_09_09_11_46_34.mat,0.7,0,0,1.032117316
AL_2019_09_09_11_46_34.mat,0.3,0,0,0.915653394
AL_2019_09_09_11_46_34.mat,0.7,1,1,0.951020874
AL_2019_09_09_11_46_34.mat,0.1,1,0,1.080057229
AL_2019_09_09_11_46_34.mat,0.15,1,1,1.216682733
AL_2019_09_09_11_46_34.mat,0.3,0,0,1.215242543
AL_2019_09_09_11_46_34.mat,0.1,0,0,1.181970328
AL_2019_09_09_11_46_34.mat,0.7,1,0,2.231538333
AL_2019_09_09_11_46_34.mat,0.2,0,0,1.478596492
AL_2019_09_09_11_46_34.mat,0.3,1,1,1.066708171
AL_2019_09_09_11_46_34.mat,0.15,1,0,1.298176889
AL_2019_09_09_11_46_34.mat,0.15,0,0,1.199667968
AL_2019_09_09_11_46_34.mat,0.15,1,1,1.548783314
AL_2019_09_09_11_46_34.mat,0.3,0,0,1.349506932
AL_2019_09_09_11_46_34.mat,0.1,1,1,2.081529183
AL_2019_09_09_11_46_34.mat,0.7,1,1,0.950520415
AL_2019_09_09_11_46_34.mat,0.2,0,0,0.697846609
AL_2019_09_09_11_46_34.mat,0.7,1,1,0.649454669
AL_2019_09_09_11_46_34.mat,0.3,1,0,1.016767917
AL_2019_09_09_11_46_34.mat,0.3,1,0,1.3625048
AL_2019_09_09_11_46_34.mat,0.1,1,0,1.415382705
AL_2019_09_09_11_46_34.mat,0.3,0,0,0.967604782
AL_2019_09_09_11_46_34.mat,0.1,0,0,1.131630226
AL_2019_09_09_11_46_34.mat,0.15,0,0,1.682447136
AL_2019_09_09_11_46_34.mat,0.2,1,0,1.531485782
AL_2019_09_09_11_46_34.mat,0.3,0,0,0.849276109
AL_2019_09_09_11_46_34.mat,0.1,0,0,2.319045717
AL_2019_09_09_11_46_34.mat,0.1,1,0,1.647107571
AL_2019_09_09_11_46_34.mat,0.2,1,0,1.915172953
AL_2019_09_09_11_46_34.mat,0.1,0,0,1.449795562
AL_2019_09_09_11_46_34.mat,0.3,1,0,2.182482216
AL_2019_09_09_11_46_34.mat,0.2,1,0,1.49707761
AL_2019_09_09_11_46_34.mat,0.2,1,0,1.683254866
AL_2019_09_09_11_46_34.mat,0.7,1,1,3.399856883
AL_2019_09_09_11_46_34.mat,0.3,1,0,0.914928597
AL_2019_09_09_11_46_34.mat,0.1,1,0,1.682345446
AL_2019_09_09_11_46_34.mat,0.7,0,0,1.25018931
AL_2019_09_09_11_46_34.mat,0.1,0,1,1.648894344
AL_2019_09_09_11_46_34.mat,0.7,0,0,0.983674108
AL_2019_09_09_11_46_34.mat,0.15,1,0,1.831999512
AL_2019_09_09_11_46_34.mat,0.7,0,0,1.180586264
AL_2019_09_09_11_46_34.mat,0.2,0,0,1.683072557
AL_2019_09_09_11_46_34.mat,0.1,0,0,4.148279263
AL_2019_09_09_11_46_34.mat,0.15,0,0,1.58395857
AL_2019_09_09_11_46_34.mat,0.3,1,1,1.097650001
AL_2019_09_09_11_46_34.mat,0.15,0,0,0.701167645
AR_2019_09_09_11_40_54.mat,0.3,1,1,3.183274201
AR_2019_09_09_11_40_54.mat,0.1,1,0,3.366434948
AR_2019_09_09_11_40_54.mat,0.7,0,0,1.145807863
AR_2019_09_09_11_40_54.mat,0.3,1,1,0.850491951
AR_2019_09_09_11_40_54.mat,0.1,0,0,0.698524923
AR_2019_09_09_11_40_54.mat,0.15,0,0,1.698058258
AR_2019_09_09_11_40_54.mat,0.3,0,0,1.347901817
AR_2019_09_09_11_40_54.mat,0.2,1,1,2.598278892
AR_2019_09_09_11_40_54.mat,0.7,1,1,1.884561928
AR_2019_09_09_11_40_54.mat,0.3,0,0,0.731084942
AR_2019_09_09_11_40_54.mat,0.15,0,0,1.064222941
AR_2019_09_09_11_40_54.mat,0.7,0,0,0.83473132
AR_2019_09_09_11_40_54.mat,0.7,1,1,0.566068382
AR_2019_09_09_11_40_54.mat,0.7,1,0,1.164944165
AR_2019_09_09_11_40_54.mat,0.7,0,0,0.850801808
AR_2019_09_09_11_40_54.mat,0.2,0,0,1.098943605
AR_2019_09_09_11_40_54.mat,0.1,0,0,1.397129906
AR_2019_09_09_11_40_54.mat,0.3,1,1,0.965184052
AR_2019_09_09_11_40_54.mat,0.7,0,0,0.815671339
AR_2019_09_09_11_40_54.mat,0.1,0,1,2.285615814
AR_2019_09_09_11_40_54.mat,0.1,1,1,1.564145795
AR_2019_09_09_11_40_54.mat,0.2,1,1,1.732625123
AR_2019_09_09_11_40_54.mat,0.1,0,0,1.682564264
AR_2019_09_09_11_40_54.mat,0.2,0,0,2.516671573
AR_2019_09_09_11_40_54.mat,0.1,1,1,1.849123971
AR_2019_09_09_11_40_54.mat,0.15,1,0,1.232600528
AR_2019_09_09_11_40_54.mat,0.2,1,1,1.399205345
AR_2019_09_09_11_40_54.mat,0.7,1,1,0.882301118
AR_2019_09_09_11_40_54.mat,0.15,0,0,0.899364727
AR_2019_09_09_11_40_54.mat,0.15,1,1,0.865907683
AR_2019_09_09_11_40_54.mat,0.7,1,1,0.749387408
AR_2019_09_09_11_40_54.mat,0.2,1,0,2.848327848
AR_2019_09_09_11_40_54.mat,0.3,1,1,1.317952646
AR_2019_09_09_11_40_54.mat,0.15,0,0,1.598523482
AR_2019_09_09_11_40_54.mat,0.2,0,0,1.065592037
AR_2019_09_09_11_40_54.mat,0.1,1,1,1.016286377
AR_2019_09_09_11_40_54.mat,0.2,0,0,1.084777113
AR_2019_09_09_11_40_54.mat,0.15,1,1,1.064448772
AR_2019_09_09_11_40_54.mat,0.1,1,1,1.70500197
AR_2019_09_09_11_40_54.mat,0.2,0,0,0.746987863
AR_2019_09_09_11_40_54.mat,0.15,1,1,1.301101515
AR_2019_09_09_11_40_54.mat,0.7,0,0,0.749213504
AR_2019_09_09_11_40_54.mat,0.15,1,1,0.881987862
AR_2019_09_09_11_40_54.mat,0.3,0,0,0.965068579
AR_2019_09_09_11_40_54.mat,0.15,0,0,1.316415593
AR_2019_09_09_11_40_54.mat,0.3,0,0,1.065579828
AR_2019_09_09_11_40_54.mat,0.3,1,1,0.767135377
AR_2019_09_09_11_40_54.mat,0.7,0,0,0.631200083
AR_2019_09_09_11_40_54.mat,0.15,1,1,0.817193318
AR_2019_09_09_11_40_54.mat,0.2,0,0,0.964523649
AR_2019_09_09_11_40_54.mat,0.3,0,0,1.032082555
AR_2019_09_09_11_40_54.mat,0.15,0,0,1.617858707
AR_2019_09_09_11_40_54.mat,0.1,1,1,0.996875725
AR_2019_09_09_11_40_54.mat,0.2,1,1,1.182732685
AR_2019_09_09_11_40_54.mat,0.1,0,0,1.850214202
AR_2019_09_09_11_40_54.mat,0.2,1,1,1.28145623
AR_2019_09_09_11_40_54.mat,0.7,1,1,0.80071046
AR_2019_09_09_11_40_54.mat,0.3,0,0,0.716366907
AR_2019_09_09_11_40_54.mat,0.3,1,1,0.849563637
AR_2019_09_09_11_40_54.mat,0.1,0,0,1.048010045
AS_2019_09_09_11_35_57.mat,0.3,1,1,2.233827226
AS_2019_09_09_11_35_57.mat,0.1,0,0,1.445176834
AS_2019_09_09_11_35_57.mat,0.1,1,1,1.731894274
AS_2019_09_09_11_35_57.mat,0.1,1,1,2.499965585
AS_2019_09_09_11_35_57.mat,0.15,1,1,2.081420213
AS_2019_09_09_11_35_57.mat,0.3,0,0,1.017133281
AS_2019_09_09_11_35_57.mat,0.3,0,0,1.781596477
AS_2019_09_09_11_35_57.mat,0.2,1,1,0.849629155
AS_2019_09_09_11_35_57.mat,0.7,1,1,1.832848424
AS_2019_09_09_11_35_57.mat,0.2,1,1,1.299572476
AS_2019_09_09_11_35_57.mat,0.2,1,1,1.349606479
AS_2019_09_09_11_35_57.mat,0.15,0,0,1.597809331
AS_2019_09_09_11_35_57.mat,0.2,0,0,1.600868553
AS_2019_09_09_11_35_57.mat,0.7,0,0,1.3645137
AS_2019_09_09_11_35_57.mat,0.1,0,1,1.09883329
AS_2019_09_09_11_35_57.mat,0.7,0,0,0.814795117
AS_2019_09_09_11_35_57.mat,0.3,1,1,1.098692281
AS_2019_09_09_11_35_57.mat,0.7,1,1,1.099264607
AS_2019_09_09_11_35_57.mat,0.2,0,0,1.600080432
AS_2019_09_09_11_35_57.mat,0.2,0,0,2.449242115
AS_2019_09_09_11_35_57.mat,0.3,1,1,0.99656049
